PublicID,Date,Latitude,Longitude,strike1,dip1,rake1,strike2,dip2,rake2,ML,Mw,Mo,CD,NS,DC,Mxx,Mxy,Mxz,Myy,Myz,Mzz,VR,Tva,Tpl,Taz,Nva,Npl,Naz,Pva,Ppl,Paz
2013p574429,20130801125600,-41.7178,174.3088,214,46,105,13,46,75,5.2,4.7,1.12e+23,13,5,52,76.14,579.76,-116.07,-1022.31,-35.55,946.18,68,-1271.78,79,204,302.89,11,23,968.89,0,114
2013p613824,20130816024500,-41.7638,174.1168,150,75,22,54,68,164,5.4,5.5,2.37e+24,5,8,91,17095.07,8473.70,8155.26,-22282.46,3895.76,5187.40,85,23150.39,27,13,1048.71,63,181,-24199.09,5,281
2013p614184,20130816055700,-41.6870,174.3137,339,57,61,205,43,127,5.1,4.8,1.69e+23,14,4,68,507.08,38.90,-473.67,-1788.14,-393.75,1281.06,65,1547.49,64,196,290.55,24,356,-1838.03,8,89
2013p614268,20130816064200,-41.7100,174.2854,214,66,129,331,45,36,5.2,4.7,1.34e+23,18,6,69,557.59,135.89,-516.41,-1339.91,420.23,782.33,78,1222.49,52,171,225.44,35,15,-1447.93,12,277
2013p614294,20130816065500,-41.6771,174.2889,144,89,12,54,78,179,5.5,5.4,1.41e+24,14,6,70,12011.27,4301.55,1241.44,-14240.98,2673.62,2229.72,80,12956.32,9,10,2314.85,78,148,-15271.17,8,278
2013p614487,20130816083800,-41.7379,174.1145,245,90,-170,155,80,0,5.2,4.8,2.06e+23,16,8,90,1516.77,1291.14,294.84,-1610.38,-179.23,93.61,82,2005.77,7,20,101.70,80,245,-2107.46,7,110
2013p615178,20130816144700,-41.6951,174.3202,357,84,14,266,76,174,4.9,4.6,9.41e+22,13,8,61,-2.67,908.20,-35.77,-230.62,-193.59,233.29,81,838.83,14,223,204.82,75,19,-1043.64,6,131
2013p616691,20130817041300,-41.7793,173.9923,140,85,11,49,79,175,5.0,4.7,1.32e+23,6,10,55,1401.72,194.57,350.71,-1133.39,86.25,-268.33,75,1488.85,11,5,-336.40,78,164,-1152.45,4,274
2013p617227,20130817085800,-41.7699,174.0486,134,88,-13,225,77,-178,5.5,5.2,8.13e+23,13,10,58,7085.74,-171.88,-730.11,-8728.69,-1935.89,1642.95,84,7182.42,8,180,1901.36,77,305,-9083.78,11,89
2013p618032,20130817160700,-41.7310,174.1024,333,74,33,234,59,161,5.0,4.7,1.33e+23,20,7,49,791.18,483.25,-268.87,-1357.23,-431.97,566.05,77,1135.96,34,198,390.57,54,356,-1526.53,10,101
2013p666224,20130904120400,-41.5003,174.4235,243,83,170,334,80,7,5.1,4.8,1.90e+23,18,7,52,1216.12,1136.44,-242.65,-1775.01,18.30,558.89,75,1645.25,12,199,515.87,78,28,-2161.12,2,289
2015p013973,20150106040400,-43.0628,171.2858,252,82,150,347,60,10,4.8,4.6,8.95e+22,8,10,89,310.05,670.63,-423.15,-469.13,50.17,159.08,86,-919.52,27,206,869.57,59,58,49.95,15,303
2016p140897,20160222030900,-41.8920,174.2548,39,62,115,175,37,52,5.0,4.8,1.69e+23,4,10,81,179.39,597.39,717.73,-1407.40,-483.72,1228.01,72,-1771.30,64,352,169.17,22,206,1602.13,13,111
2016p198476,20160314102800,-42.2636,173.0482,66,87,160,157,70,3,5.0,4.8,1.84e+23,11,13,91,1194.85,1169.17,597.19,-1328.19,-217.54,133.34,82,-1877.52,16,20,1794.25,70,237,83.27,12,113
2016p858340,20161113140400,-42.5254,173.2981,240,85,159,332,69,5,5.1,4.9,3.30e+23,12,3,69,2698.52,1592.43,-1347.09,-2471.20,145.12,-227.32,68,3569.84,18,195,-3023.46,69,47,-546.38,11,288
2016p858704,20161113171700,-42.4147,173.6788,12,66,61,246,38,137,5.1,4.9,2.57e+23,4,10,89,-484.42,1466.94,-118.05,-1176.61,-1512.12,1661.02,86,-2647.92,58,240,148.04,27,25,2499.88,16,123
